NodeNo,g50_250,g50_500,g50_1000,g50_2000,g50_4000,g50_6000,g80_250,g80_500,g80_1000,g80_2000,g80_4000,g80_6000,g65_250,g65_500,g65_1000,g65_2000,g65_4000,g65_6000,CR_250,CR_500,CR_1000,CR_2000,CR_4000,CR_6000,kneelow_250,kneelow_500,kneelow_1000,kneelow_2000,kneelow_4000,kneelow_6000,mpoband_250,mpoband_500,mpoband_1000,mpoband_2000,mpoband_4000,mpoband_6000,audiogram_500,audiogram_1000,audiogram_2000,audiogram_3000,audiogram_4000,audiogram_6000,audiogram_8000,cal_g65_250,cal_g65_500,cal_g65_1000,cal_g65_2000,cal_g65_4000,cal_g65_6000,cal_CR_250,cal_CR_500,cal_CR_1000,cal_CR_2000,cal_CR_4000,cal_CR_6000,cal_kneelow_250,cal_kneelow_250,cal_kneelow_1000,cal_kneelow_2000,cal_kneelow_4000,cal_kneelow_6000
53,0.129388,0.379665,1.8474,1.62034,5.7341,6.25503,0,0,0,0,0,0,0,0,0.804678,0,0,0.115082,1.00433,1.01282,1.06562,1.0571,1.2363,1.26343,52,52,52,52,52,52,84.1298,89.4002,89.8894,93.3545,95.6403,102.165,14.8168,12.0806,12.6995,15.0244,18.8111,34.263,45.9976,8,5,1.804678,4,6,7.115082,1.00433,1.01282,1.19669126,1.2294073,1.533012,1.137087,20,25,30,30,35,40
54,7.5482,7.85348,14.606,16.0364,16.9822,17.7412,0,0,0,0,0,0.593293,0,0,7.23483,7.09798,7.71731,9.68916,1.3362,1.35461,1.94881,2.14845,2.30454,2.33425,52,52,52,52,52,52,88.7826,94.5183,97.2368,101.486,102.722,103.047,33.4279,36.9869,42.8166,46.8559,48.3188,49.3668,49.6725,8,5,8.23483,11.09798,13.71731,16.68916,1.3362,1.35461,2.18851363,2.49864735,2.8576296,2.100825,20,25,30,30,35,40
55,8.94962,9.51207,12.4003,10.3768,10.7561,12.3459,0,0,0.984953,0,0,0,2.15992,2.46171,7.2432,3.34891,3.57933,5.1677,1.42515,1.46428,1.61424,1.5288,1.55894,1.69933,52,52,52,52,52,52,88.5338,94.2446,95.4136,97.5074,98.041,101.788,32.4328,30.8068,28.0807,26.7359,28.8142,36.7237,44.4254,10.15992,7.46171,8.2432,7.34891,9.57933,12.1677,1.42515,1.46428,1.81279152,1.7779944,1.9330856,1.529397,20,25,30,30,35,40
56,0,0,1.59597,8.97181,14.1824,9.75529,0,0,0,0,0,0,0,0,0,1.48401,6.05823,4.62874,1,1,1.05619,1.42666,1.89662,1.48187,52,52,52,52,52,52,83.4296,88.63,89.9874,96.1699,102.009,96.8056,12.0159,12.4127,23.127,45.619,45.3492,30.5556,23.6667,8,5,1,5.48401,12.05823,11.62874,1,1,1.18610137,1.65920558,2.3518088,1.333683,20,25,30,30,35,40
57,0,0,0.748443,7.10543E-15,8.63555,5.59472,0,0,0,0,0,0,0,0,0,0,2.49936,1.72729,1,1,1.02559,1,1.4042,1.22924,52,52,52,52,52,52,82.9558,88.1088,89.1901,92.4104,102.673,96.9575,10.1208,9.71014,9.2029,20.5797,48.1159,35.8454,24.2995,8,5,1,4,8.49936,8.72729,1,1,1.15173757,1.163,1.741208,1.106316,20,25,30,30,35,40
58,0,0,5.13057,8.86919,16.1619,15.789,0,0,0,0,0,0.247882,0,0,2.09109,1.52519,7.05323,8.11188,1,1,1.2063,1.41973,2.16793,2.07484,52,52,52,52,52,52,84.2136,89.4924,90.7702,96.3708,102.773,103.479,15.1518,15.0664,23.871,42.1917,48.5294,50.1423,51.4706,8,5,3.09109,5.52519,13.05323,15.11188,1,1,1.3546749,1.65114599,2.6882332,1.867356,20,25,30,30,35,40
59,0,0,3.03406,3.89219,9.95555,10.3521,0,0,0,0,0,0,0,0,1.18506,0,2.51451,3.81325,1,1,1.11251,1.14908,1.49667,1.52688,52,52,52,52,52,52,83.9916,89.2482,90.0741,94.447,98.7242,103.361,14.264,12.7068,16.7457,23.5949,31.6606,44.5316,50.9793,8,5,2.18506,4,8.51451,10.81325,1,1,1.24934873,1.33638004,1.8558708,1.374192,20,25,30,30,35,40
60,0,0.831263,5.97971,6.63556,16.3125,15.7844,0,0,0,0,0,1.44046,0,0,2.95031,0.374052,7.21382,8.21602,1,1.0285,1.24894,1.284,2.19178,1.91619,52,52,52,52,52,52,84.1975,89.4747,90.5143,95.4507,104.067,108.777,15.0876,14.199,20.4631,40.2378,53.9237,62.9287,65.8448,8,5,3.95031,4.374052,13.21382,15.21602,1,1.0285,1.40255962,1.493292,2.7178072,1.724571,20,25,30,30,35,40
61,1.61959,2.59814,5.61546,3.71114,8.94007,9.54953,0,0,0.299161,0,0,0,0,0,3.58383,0,1.95344,3.35217,1.05707,1.09482,1.21538,1.14117,1.42451,1.46696,52,52,52,52,52,52,84.9578,90.311,91.1468,94.8068,97.9965,110.125,18.1286,16.3429,18.0786,21.8357,28.6286,48.6071,68.5143,8,5,4.58383,4,7.95344,10.35217,1.05707,1.09482,1.36487174,1.32718071,1.7663924,1.320264,20,25,30,30,35,40
62,12.0192,14.4546,20.6436,20.3126,21.2748,22.1749,0,0,0,0,0.732188,3.69627,3.70078,4.68201,9.84109,9.67613,11.3906,13.235,1.66844,1.92983,3.20636,3.09681,3.17214,2.60385,52,52,52,52,52,52,93.6201,99.8395,103.01,106.555,109.066,111.325,52.7778,56.5556,60.4444,63.4444,66.4167,68.8333,70.8889,11.70078,9.68201,10.84109,13.67613,17.3906,20.235,1.66844,1.92983,3.60074228,3.60159003,3.9334536,2.343465,20,25,30,30,35,40
63,11.8061,13.5454,17.489,14.8717,15.2656,17.1958,0,0,0,0,0,0.880922,3.99243,4.729,8.64012,5.26025,6.43743,8.96767,1.6489,1.82319,2.3979,1.98304,2.03605,2.19216,52,52,52,52,52,52,92.0006,98.0581,99.5416,101.65,103.06,109.537,46.3,44.8,43.425,45.15,49.725,59.475,67.35,11.99243,9.729,9.64012,9.26025,12.43743,15.96767,1.6489,1.82319,2.6928417,2.30627552,2.524702,1.972944,20,25,30,30,35,40
64,0.745307,1.85331,12.8249,19.8931,23.4216,22.8801,0,0,0,0.224977,2.24141,5.25488,0,0,5.75074,10.3183,13.0534,14.1582,1.02548,1.06584,1.74672,2.90363,3.40143,2.42428,52,52,52,52,52,52,86.3054,91.7933,95.0778,103.995,108.584,111.097,23.519,29.6682,52.109,61.718,65.4621,68.8033,70.4384,8,5,6.75074,14.3183,19.0534,21.1582,1.02548,1.06584,1.96156656,3.37692169,4.2177732,2.181852,20,25,30,30,35,40
65,4.42414,4.6477,11.5762,12.6113,18.0653,18.4767,0,0,0,0,0,3.06847,0,0,6.1918,4.43203,8.67936,10.3719,1.17298,1.18332,1.62833,1.72526,2.51368,2.05596,52,52,52,52,52,52,86.2975,91.7847,93.704,98.7631,103.965,111.144,23.4876,25.0113,32.7314,43.7698,53.4989,64.5711,70.5305,8,5,7.1918,8.43203,14.67936,17.3719,1.17298,1.18332,1.82861459,2.00647738,3.1169632,1.850364,20,25,30,30,35,40
66,0,0,5.17056,10.0371,21.2392,19.8648,0,0,0,0,1.54686,3.4676,0,0,2.82474,3.20134,12.0166,12.0053,1,1,1.20824,1.50279,2.91045,2.20543,52,52,52,52,52,52,83.6033,88.8211,89.7977,96.4253,107.393,106.946,12.7107,11.7697,24.073,56.264,63.1039,64.2275,62.2191,8,5,3.82474,7.20134,18.0166,19.0053,1,1,1.35685352,1.74774477,3.608958,1.984887,20,25,30,30,35,40
67,0,0.106764,3.85962,3.26386,12.6206,12.3831,0,0,0,0,0,0.168834,0,0,1.63302,0,4.45155,5.81067,1,1.00357,1.14765,1.12208,1.72618,1.68674,52,52,52,52,52,52,83.4809,88.6864,89.5912,94.1075,102.816,109.038,12.2209,11.0698,15.4884,29.593,48.7093,62.1628,66.3605,8,5,2.63302,4,10.45155,12.81067,1,1.00357,1.28881095,1.30497904,2.1404632,1.518066,20,25,30,30,35,40
68,1.23449,2.5447,8.81972,10.0896,21.0612,20.5129,0,0,0,0,4.72609,6.83215,0,0,5.38553,4.23456,13.5884,14.0253,1.04292,1.09269,1.41641,1.50675,2.1954,1.83832,52,52,52,52,52,52,84.3162,89.6053,90.8179,97.4101,112.065,119.709,15.5623,15.228,27.7204,58.4195,72.3556,84.2857,87.4924,8,5,6.38553,8.23456,19.5884,21.0253,1.04292,1.09269,1.59062843,1.75235025,2.722296,1.654488,20,25,30,30,35,40
69,3.0123,4.0636,8.61378,6.78591,14.0468,14.3012,0,0,0.274467,0,0,2.59313,0,0,4.90058,0.966752,6.16212,7.74398,1.11162,1.15668,1.385,1.29232,1.8805,1.64007,52,52,52,52,52,52,85.5429,90.9547,92.031,96.355,101.69,119.902,20.4692,19.3402,23.8123,31.6716,44.0176,68.8563,87.8739,8,5,5.90058,4.966752,12.16212,14.74398,1.11162,1.15668,1.555355,1.50296816,2.33182,1.476063,20,25,30,30,35,40
70,17.6335,22.456,29.2127,29.0305,29.6553,30.0266,1.92352,3.81885,7.75564,8.7096,11.4318,13.49,10.7497,14.0204,18.4768,19.0925,21.2566,22.4394,2.09936,2.64018,3.51166,3.09947,2.54746,2.22826,52,52,52,52,52,52,100.945,107.134,109.209,113.93,116.379,120.226,67.7734,69.4922,74.7656,76.5625,80.8984,85.3516,88.5156,18.7497,19.0204,19.4768,23.0925,27.2566,29.4394,2.09936,2.64018,3.94359418,3.60468361,3.1588504,2.005434,20,25,30,30,35,40
71,10.7155,13.1489,20.0076,20.6822,23.0769,23.7058,0,0,0,0,3.12656,6.17153,2.87262,3.82047,9.17796,9.52198,13.3285,15.1099,1.55565,1.7803,3.00229,3.21966,2.98518,2.4066,52,52,52,52,52,52,92.7754,98.9103,101.994,106.086,110.696,120.162,49.3989,53.1148,59.5355,62.7322,69.6448,80.847,88.388,10.87262,8.82047,10.17796,13.52198,19.3285,22.1099,1.55565,1.7803,3.37157167,3.74446458,3.7016232,2.16594,20,25,30,30,35,40
72,0,1.42409,13.6976,22.5972,26.2548,24.8414,0,0,0,4.31547,8.0636,9.84477,0,0,6.21116,13.965,17.9321,17.8171,1,1.04984,1.84022,2.56012,2.54047,1.99956,52,52,52,52,52,52,86.1322,91.6028,95.1596,108.117,117.078,119.837,22.8261,29.9457,63.4783,75.5435,82.2826,88.2337,87.7446,8,5,7.21116,17.965,23.9321,24.8171,1,1.04984,2.06656706,2.97741956,3.1501828,1.799604,20,25,30,30,35,40
73,4.88258,5.4262,14.5484,18.1513,22.4996,22.6898,0,0,0,0,3.15455,6.28384,0,0,7.16321,8.46349,12.8905,14.4166,1.19439,1.22081,1.94155,2.53192,2.81558,2.20685,52,52,52,52,52,52,87.4392,93.0406,95.8299,102.68,108.223,120.376,28.0545,32.2179,47.2374,58.3658,64.7471,78.9689,88.8132,8,5,8.16321,12.46349,18.8905,21.4166,1.19439,1.22081,2.18036065,2.94462296,3.4913192,1.986165,20,25,30,30,35,40
74,0.167845,1.9346,8.30213,10.2028,21.6932,20.9707,0,0,0.320982,0,6.31049,7.96669,0,0,5.44649,4.8222,14.9919,15.1083,1.00563,1.06893,1.36247,1.51536,2.05237,1.76513,52,52,52,52,52,52,84.0194,89.2788,90.3819,97.4384,114.499,119.41,14.375,13.75,27.825,64.475,77.175,86.475,86.9,8,5,6.44649,8.8222,20.9919,22.1083,1.00563,1.06893,1.53005381,1.76236368,2.5449388,1.588617,20,25,30,30,35,40
75,0.563039,2.31409,6.70727,5.36757,15.7061,15.4126,0,0,0,0,0.413881,3.34456,0,0,3.59045,0.16533,7.61938,8.79276,1.01913,1.08358,1.28796,1.21791,2.03974,1.67299,52,52,52,52,52,52,84.1161,89.3852,90.3292,95.3256,105.69,119.743,14.7619,13.5714,20,37.9464,59.7321,80.119,87.5595,8,5,4.59045,4.16533,13.61938,15.79276,1.01913,1.08358,1.44637908,1.41642933,2.5292776,1.505691,20,25,30,30,35,40
76,0,0,0,7.10543E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,52,52,52,52,52,52,82.1364,87.2074,86.9737,90.3277,91.4375,91.6068,6.84288,2.19671,1.48905,0.970935,1.29949,15.0021,2.00505,8,5,1,4,6,7,1,1,1.123,1.163,1.24,0.9,20,25,30,30,35,40
77,0,0,0,7.10543E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,52,52,52,52,52,52,81.4812,86.4867,86.6233,90.0199,91.1256,91.1256,4.22222,1.00907,0.349206,-1.06349,-0.136054,0.485261,-0.537415,8,5,1,4,6,7,1,1,1.123,1.163,1.24,0.9,20,25,30,30,35,40
78,0.507383,0.618442,3.24502,3.62019,3.84639,3.18708,0,0,0,0,0,0,0,0,0.573744,0,0,0,1.0172,1.02105,1.12129,1.13723,1.14707,1.11886,52,52,52,52,52,52,84.5503,89.8628,91.0354,94.3706,95.1688,95.4206,16.4988,15.9652,16.4628,16.295,16.8465,17.4041,17.8957,8,5,1.573744,4,6,7,1.0172,1.02105,1.25920867,1.32259849,1.4223668,1.006974,20,25,30,30,35,40
79,0,0,0,7.10543E-15,0.0172687,0.164029,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.00058,1.0055,52,52,52,52,52,52,82.8203,87.9598,88.6061,92.457,93.1677,95.6592,9.57879,7.73043,9.37562,8.49356,8.50842,7.64123,18.89,8,5,1,4,6,7,1,1,1.123,1.163,1.2407192,0.90495,20,25,30,30,35,40
80,0,0,0,7.10543E-15,3.15356,2.15273,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.11747,1.0773,52,52,52,52,52,52,82.367,87.4612,88.1066,92.4549,95.2042,95.3782,7.7656,6.0371,9.36762,13.8828,16.9941,19.7808,17.7192,8,5,1,4,6,7,1,1,1.123,1.163,1.3856628,0.96957,20,25,30,30,35,40
81,0,0,0,7.10543E-15,0.636356,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.02167,1,52,52,52,52,52,52,81.7966,86.8337,87.3289,90.544,94.4912,93.7922,5.48401,3.40104,2.29041,8.47882,14.0233,13.1504,11.1106,8,5,1,4,6,7,1,1,1.123,1.163,1.2668708,0.9,20,25,30,30,35,40
82,0,0.172962,1.57569,0.0178216,0.270816,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0058,1.05543,1.00059,1.00911,1,52,52,52,52,52,52,84.4294,89.7298,90.044,92.9533,93.7048,92.6724,16.015,12.6047,11.2137,10.623,10.7465,15.3008,6.44468,8,5,1,4,6,7,1,1.0058,1.18524789,1.16368617,1.2512964,0.9,20,25,30,30,35,40
83,0,0,0,7.10543E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,52,52,52,52,52,52,83.8107,89.0492,88.8359,91.3165,91.8989,92.8707,13.5404,8.50932,5.1514,2.70575,3.22205,8.07065,7.27096,8,5,1,4,6,7,1,1,1.123,1.163,1.24,0.9,20,25,30,30,35,40
84,0,0,0,7.10543E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,52,52,52,52,52,52,82.8008,87.9383,88.3872,92.86,93.8678,92.1848,9.50048,6.98836,10.8681,10.8632,11.4258,5.24733,4.41319,8,5,1,4,6,7,1,1,1.123,1.163,1.24,0.9,20,25,30,30,35,40
85,0,0,0,7.10543E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,52,52,52,52,52,52,81.2754,86.2604,86.5647,90.2305,92.9566,91.4847,3.39919,0.810484,1.12903,4.74194,7.62903,7.02419,1.49597,8,5,1,4,6,7,1,1,1.123,1.163,1.24,0.9,20,25,30,30,35,40
86,0,0.339931,0,7.10543E-15,0.394867,0.390465,0,0,0,0,0,0,0,0,0,0,0,0,1,1.01146,1,1,1.01334,1.01319,52,52,52,52,52,52,84.212,89.4906,89.34,91.51,93.0414,95.609,15.1455,10.2182,5.86809,6.3579,7.98254,19.2629,18.6809,8,5,1,4,6,7,1,1.01146,1.123,1.163,1.2565416,0.911871,20,25,30,30,35,40
87,0,0,0,7.10543E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,52,52,52,52,52,52,81.7571,86.7902,87.5191,92.4936,91.9916,93.7781,5.32588,4.04562,9.51117,6.41061,3.60801,16.5596,11.0521,8,5,1,4,6,7,1,1,1.123,1.163,1.24,0.9,20,25,30,30,35,40
88,0,0,0,7.10543E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,52,52,52,52,52,52,81.7264,86.7564,86.947,90.0308,91.9165,95.4464,5.20292,2.10633,0.38961,1.81412,3.29545,15.556,18.0032,8,5,1,4,6,7,1,1,1.123,1.163,1.24,0.9,20,25,30,30,35,40
89,0,0,0,7.10543E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,52,52,52,52,52,52,81.3019,86.2895,86.8066,90.4642,91.4919,93.9383,3.50503,1.63052,1.99458,0.670023,1.52595,3.33462,11.7196,8,5,1,4,6,7,1,1,1.123,1.163,1.24,0.9,20,25,30,30,35,40
90,0,0,0,7.10543E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,52,52,52,52,52,52,82.8278,87.968,87.3974,90.5087,92.289,91.8634,9.60874,3.63313,2.15955,3.27744,4.84756,19.4614,3.07419,8,5,1,4,6,7,1,1,1.123,1.163,1.24,0.9,20,25,30,30,35,40
91,0,0,0,7.10543E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,52,52,52,52,52,52,81.8174,86.8566,86.5606,89.9256,91.1256,91.785,5.56718,0.79646,-0.253419,-2.08367,-3.87772,12.4296,2.74739,8,5,1,4,6,7,1,1,1.123,1.163,1.24,0.9,20,25,30,30,35,40
92,0,0,0.32913,0.172754,4.25275,3.45462,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.01109,1.00579,1.16517,1.13014,52,52,52,52,52,52,83.7576,88.9908,89.3296,92.5268,95.1369,96.0315,13.3278,10.183,9.63394,13.0699,16.7138,33.1032,20.4409,8,5,1,4,6,7,1,1,1.13545407,1.16973377,1.4448108,1.017126,20,25,30,30,35,40
93,0,0,0,7.10543E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,52,52,52,52,52,52,82.6273,87.7475,87.6639,90.9375,92.6357,94.328,8.80671,4.53649,3.74753,5.37475,6.29191,31.6864,13.3432,8,5,1,4,6,7,1,1,1.123,1.163,1.24,0.9,20,25,30,30,35,40
94,4.13723,4.14695,8.52077,9.99329,10.0875,10.4484,0,0,0,0,0,0,0,0,4.35232,3.02632,2.78923,3.91374,1.15997,1.1604,1.3967,1.4995,1.50659,1.5344,52,52,52,52,52,52,86.3835,91.8793,93.5028,97.3532,98.059,98.882,23.8314,24.3295,27.5096,27.8927,28.8889,30.1724,32.318,8,5,5.35232,7.02632,8.78923,10.91374,1.15997,1.1604,1.5684941,1.7439185,1.8681716,1.38096,20,25,30,30,35,40
95,0,0,4.24993,8.70104,5.60177,2.7119,0,0,0,0,0,0,0,0,0.431955,2.38513,0,0,1,1,1.16505,1.40852,1.2296,1.09938,52,52,52,52,52,52,84.1986,89.4759,91.8727,97.2471,96.1833,94.1219,15.092,18.8037,27.1166,25.3374,21.0736,15.7055,12.4847,8,5,1.431955,6.38513,6,7,1,1,1.30835115,1.63810876,1.524704,0.989442,20,25,30,30,35,40
96,7.22847,8.24932,9.81529,5.90926,6.04345,6.58207,0,0,0,0,0,0,1.16634,1.73667,5.52467,0,0,0.64005,1.31743,1.37927,1.48627,1.24529,1.25227,1.28107,52,52,52,52,52,52,87.8804,93.5259,94.1211,95.124,95.7845,97.5926,29.819,26.4253,19.2534,17.7149,19.4118,24.7511,26.9457,9.16634,6.73667,6.52467,4,6,7.64005,1.31743,1.37927,1.66908121,1.44827227,1.5528148,1.152963,20,25,30,30,35,40
97,5.13945,6.85381,4.91441,7.10543E-15,0.308846,0,0,0,0,0,0,0,0,0.585315,0.941097,0,0,0,1.20673,1.29611,1.19591,1,1.0104,1,52,52,52,52,52,52,88.0256,93.6856,91.1973,92.3788,93.3748,93.7862,30.4,16.5143,9.08571,8.37143,9.37143,17.4286,11.0857,8,5.585315,1.941097,4,6,7,1.20673,1.29611,1.34300693,1.163,1.252896,0.9,20,25,30,30,35,40
98,0,0,2.20338,6.09867,9.56998,9.4117,0,0,0,0,0,0,0,0,0,0,2.26913,3.18516,1,1,1.07927,1.25516,1.46843,1.45714,52,52,52,52,52,52,83.6831,88.9089,90.3779,95.421,98.3745,99.0887,13.0299,13.7364,20.3533,27.337,30.2038,31.5625,33.1793,8,5,1,4,8.26913,10.18516,1,1,1.21202021,1.45975108,1.8208532,1.311426,20,25,30,30,35,40
99,0,0,0,0.302007,6.92844,6.54308,0,0,0,0,0,0,0,0,0,0,0.319786,0.970371,1,1,1,1.01017,1.3003,1.27894,52,52,52,52,52,52,82.3887,87.485,88.4104,92.4978,97.5358,98.927,7.85219,7.06697,9.52656,18.4411,26.709,30.8545,32.5058,8,5,1,4,6.319786,7.970371,1,1,1.123,1.17482771,1.612372,1.151046,20,25,30,30,35,40
100,0,0,0.333071,2.59517,7.74323,4.76123,0,0,0,0,0,0,0,0,0,0,1.4108,0.381068,1,1,1.01123,1.0947,1.3479,1.18865,52,52,52,52,52,52,83.0557,88.2187,89.4192,93.7083,98.8089,95.382,10.5201,10.4866,14.0101,26.4094,32.0134,24.6644,17.7349,8,5,1,4,7.4108,7.381068,1,1,1.13561129,1.2731361,1.671396,1.069785,20,25,30,30,35,40
101,0,0,0,7.10543E-15,4.01413,0.671682,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.15447,1.0229,52,52,52,52,52,52,82.7004,87.8279,88.0863,91.5554,99.0608,93.9148,9.0991,5.96847,6.03604,10.5856,33.0631,17.7027,11.6216,8,5,1,4,6,7,1,1,1.123,1.163,1.4315428,0.92061,20,25,30,30,35,40
102,2.17122,3.0438,3.37918,1.45532,5.19261,5.66505,0,0,0,0,0,0,0,0,1.25957,0,0,0,1.07802,1.11292,1.12694,1.05098,1.20932,1.23279,52,52,52,52,52,52,85.4945,90.9014,90.8048,92.9445,95.2548,99.3996,20.2756,15.1837,11.1811,13.5958,17.2047,29.0551,34.4751,8,5,2.25957,4,6,7,1.07802,1.11292,1.26555362,1.22228974,1.4995568,1.109511,20,25,30,30,35,40
103,0,0,0.312311,2.51838,3.44194,4.16452,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.01052,1.09164,1.1296,1.16119,52,52,52,52,52,52,83.5784,88.7937,89.6722,93.9636,94.6723,99.0616,12.6111,11.3444,14.9556,13.8,14.7778,16.5778,33.0667,8,5,1,4,6,7,1,1,1.13481396,1.26957732,1.400704,1.045071,20,25,30,30,35,40
104,0,0,0,7.10543E-15,2.96784,3.04682,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.10979,1.11304,52,52,52,52,52,52,81.8492,86.8916,87.9571,91.6131,94.6165,99.0559,5.69444,5.5303,6.25,10.5051,14.5455,27.0707,33.0429,8,5,1,4,6,7,1,1,1.123,1.163,1.3761396,1.001736,20,25,30,30,35,40
105,0,0,0,7.10543E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,52,52,52,52,52,52,82.2736,87.3584,87.7454,91.0578,92.5262,98.8409,7.39193,4.81268,4.19308,4.69741,5.83573,13.732,32.147,8,5,1,4,6,7,1,1,1.123,1.163,1.24,0.9,20,25,30,30,35,40
106,0.135409,0,2.34817,3.98844,4.99278,4.43126,0,0,0,0,0,0,0,0,0,0,0,0,1.00453,1,1.08492,1.15333,1.19965,1.17331,52,52,52,52,52,52,84.4426,89.7443,90.4456,94.6026,95.1609,96.1738,16.0678,13.9661,17.322,16.9153,16.8136,32.8475,21.0339,8,5,1,4,6,7,1.00453,1,1.21836516,1.34132279,1.487566,1.055979,20,25,30,30,35,40
107,0,0,0,7.10543E-15,3.26398,1.37351,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.12208,1.04798,52,52,52,52,52,52,82.6278,87.748,88.0778,91.629,95.1646,94.2907,8.80872,5.9396,6.30872,12.9698,16.8289,32.2651,13.1879,8,5,1,4,6,7,1,1,1.123,1.163,1.3913792,0.943182,20,25,30,30,35,40
