NodeNo,g50_250,g50_500,g50_1000,g50_2000,g50_4000,g50_6000,g80_250,g80_500,g80_1000,g80_2000,g80_4000,g80_6000,g65_250,g65_500,g65_1000,g65_2000,g65_4000,g65_6000,CR_250,CR_500,CR_1000,CR_2000,CR_4000,CR_6000,kneelow_250,kneelow_500,kneelow_1000,kneelow_2000,kneelow_4000,kneelow_6000,mpoband_250,mpoband_500,mpoband_1000,mpoband_2000,mpoband_4000,mpoband_6000,audiogram_500,audiogram_1000,audiogram_2000,audiogram_3000,audiogram_4000,audiogram_6000,audiogram_8000,cal_g65_250,cal_g65_500,cal_g65_1000,cal_g65_2000,cal_g65_4000,cal_g65_6000,cal_CR_250,cal_CR_500,cal_CR_1000,cal_CR_2000,cal_CR_4000,cal_CR_6000,cal_kneelow_250,cal_kneelow_250,cal_kneelow_1000,cal_kneelow_2000,cal_kneelow_4000,cal_kneelow_6000
108,0,0,0.843165,0.447438,4.14014,4.66338,0,0,0,0,0,0,0,0,0.473232,0,0,0,1,1,1.02892,1.01514,1.1601,1.18406,52,52,52,52,52,52,83.7122,88.9409,89.4135,92.9495,95.1312,103.109,13.1464,10.4673,11.1994,13.5981,16.69,28.2243,49.9299,8,5,1.473232,4,6,7,1,1,1.15547716,1.18060782,1.438524,1.065654,20,25,30,30,35,40
109,0,0,0,7.10543E-15,4.92609,4.48709,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.19646,1.17588,52,52,52,52,52,52,83.5789,88.7942,88.779,92.3678,94.9849,97.4151,12.6131,8.31658,9.04523,11.0302,16.0804,46.9095,26.206,8,5,1,4,6,7,1,1,1.123,1.163,1.4836104,1.058292,20,25,30,30,35,40
110,10.1454,10.9149,16.1648,15.6774,16.0059,17.3015,0,0,0,0,0,0,2.06115,2.21838,8.12271,6.60844,7.02397,9.17695,1.51098,1.5719,2.16838,2.09459,2.14376,2.36248,52,52,52,52,52,52,90.4085,96.3068,98.5904,101.521,102.493,103.389,39.9315,41.5753,42.9452,46.4041,47.363,49.2466,51.0959,10.06115,7.21838,9.12271,10.60844,13.02397,16.17695,1.51098,1.5719,2.43509074,2.43600817,2.6582624,2.126232,20,25,30,30,35,40
111,2.03858,3.11317,11.2641,15.6628,15.0435,11.7598,0,0,0,0,0,0,0,0,5.06806,7.71098,6.23749,6.03289,1.07291,1.11579,1.6012,2.09246,2.00581,1.64472,52,52,52,52,52,52,86.1808,91.6564,95.022,101.176,101.351,98.1131,23.0208,29.4792,41.6667,42.9688,42.6042,31.875,29.1146,8,5,6.06806,11.71098,12.23749,13.03289,1.07291,1.11579,1.7981476,2.43353098,2.4872044,1.480248,20,25,30,30,35,40
112,5.46665,5.82469,9.97828,9.71421,12.4591,13.6385,0,0,0,0,0,0,0,0,5.41663,2.63404,4.8705,6.61088,1.22283,1.24094,1.49837,1.47887,1.71029,1.83357,52,52,52,52,52,52,87.0059,92.564,93.8306,97.3122,99.7681,103.169,26.3212,25.4404,27.3575,30.6736,36.0104,43.9508,50.1813,8,5,6.41663,6.63404,10.8705,13.61088,1.22283,1.24094,1.68266951,1.71992581,2.1207596,1.650213,20,25,30,30,35,40
113,14.3201,16.7951,16.1029,9.61552,5.50791,6.75533,0,0,2.03029,0,0,0,7.5909,8.74672,9.77961,2.10239,0,0.530528,1.91328,2.27189,1.88355,1.47171,1.22489,1.29062,52,52,52,52,52,52,91.9137,97.9625,97.2301,96.9006,95.6685,97.5685,45.9524,36.9643,25.8333,19.0476,18.9286,26.3095,26.8452,15.5909,13.74672,10.77961,6.10239,6,7.530528,1.91328,2.27189,2.11522665,1.71159873,1.5188636,1.161558,20,25,30,30,35,40
114,0,0,1.76837,8.79234,16.015,12.161,0,0,0,0,0,0,0,0,0,1.32447,7.56446,6.48305,1,1,1.06264,1.41458,2.14516,1.68171,52,52,52,52,52,52,83.4527,88.6554,89.762,95.9824,103.106,98.0467,12.1081,11.6486,22.4324,47.2703,49.9189,40.3784,28.8378,8,5,1,5.32447,13.56446,13.48305,1,1,1.19334472,1.64515654,2.6599984,1.513539,20,25,30,30,35,40
115,0,0,0.0104847,5.62277,11.8046,6.79476,0,0,0,0,0,0,0,0,0,0,4.50484,2.34614,1,1,1.00035,1.23066,1.64877,1.29281,52,52,52,52,52,52,83.1587,88.332,89.1881,94.4447,101.082,95.285,10.9322,9.70339,16.7373,43.7712,41.4831,21.6102,17.3305,8,5,1,4,10.50484,9.34614,1,1,1.12339305,1.43125758,2.0444748,1.163529,20,25,30,30,35,40
116,0,0,0.656016,0.76309,10.1976,9.39955,0,0,0,0,0,0,0,0,0,0,3.11526,3.91774,1,1,1.02236,1.0261,1.51497,1.45628,52,52,52,52,52,52,83.0266,88.1867,88.9733,92.8353,102.254,100.89,10.4037,8.97516,10.7764,22.6398,46.3665,45.9627,40.6832,8,5,1,4,9.11526,10.91774,1,1,1.14811028,1.1933543,1.8785628,1.310652,20,25,30,30,35,40
117,0,0,0.462613,7.10543E-15,7.38097,3.33715,0,0,0,0,0,0,0,0,0,0,1.89592,0.2628,1,1,1.01566,1,1.32632,1.12516,52,52,52,52,52,52,82.8416,87.9832,89.0153,92.1038,102.813,95.5324,9.66387,9.11765,8.06723,18.6975,48.6975,30.6723,18.3613,8,5,1,4,7.89592,7.2628,1,1,1.14058618,1.163,1.6446368,1.012644,20,25,30,30,35,40
118,0.113407,0.247922,8.22215,13.8647,18.4877,18.4443,0,0,0,0,0,1.83351,0,0,3.89868,5.27942,8.85044,10.2826,1.00379,1.00833,1.37755,1.85928,2.60591,2.24061,52,52,52,52,52,52,85.0343,90.3951,92.3979,99.0476,103.692,104.129,18.4346,20.5841,33.785,47.5701,52.3598,52.8738,54.1822,8,5,4.89868,9.27942,14.85044,17.2826,1.00379,1.00833,1.54698865,2.16234264,3.2313284,2.016549,20,25,30,30,35,40
119,0,0,3.02193,6.1839,15.0251,14.3842,0,0,0,0,0,0,0,0,0.858157,0,5.99486,6.87195,1,1,1.11201,1.25965,2.00336,1.92113,52,52,52,52,52,52,83.1958,88.3728,89.6376,94.9449,102.295,103.715,11.0806,11.2271,18.5897,39.9267,46.5385,48.5531,52.4542,8,5,1.858157,4,11.99486,13.87195,1,1,1.24878723,1.46497295,2.4841664,1.729017,20,25,30,30,35,40
120,0.0039761,0.561238,3.54456,3.78941,9.76953,10.1957,0,0,0,0,0,0,0,0,1.75477,0,2.34996,3.60779,1.00013,1.01906,1.13398,1.14458,1.48291,1.51482,52,52,52,52,52,52,84.26,89.5434,90.1941,94.4767,98.2115,104.373,15.3374,13.1135,16.8558,21.9632,29.5245,49.7239,55.1994,8,5,2.75477,4,8.34996,10.60779,1.00013,1.01906,1.27345954,1.33114654,1.8388084,1.363338,20,25,30,30,35,40
121,0,0,0.581846,2.6127,8.17367,8.50962,0,0,0,0,0,0,0,0,0,0,0.848914,2.03954,1,1,1.01978,1.0954,1.37449,1.39597,52,52,52,52,52,52,82.9644,88.1182,89.0056,93.8159,97.7273,103.085,10.1549,9.08451,14.4085,22.4366,27.507,34.2113,49.831,8,5,1,4,6.848914,9.03954,1,1,1.14521294,1.2739502,1.7043676,1.256373,20,25,30,30,35,40
122,4.05997,4.06632,6.47883,5.23183,6.42974,7.62989,0,0,0.388537,0,0,0,0,0,4.12767,0,0,1.04935,1.15651,1.1568,1.25472,1.21123,1.27279,1.34108,52,52,52,52,52,52,85.8581,91.3014,92.3546,95.2948,95.8663,103.117,21.73,20.4373,19.8859,18.8213,19.7529,28.1559,49.962,8,5,5.12767,4,6,8.04935,1.15651,1.1568,1.40905056,1.40866049,1.5782596,1.206972,20,25,30,30,35,40
123,0,0,0,7.10543E-15,2.51202,2.88686,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.09139,1.10647,52,52,52,52,52,52,83.2416,88.4232,88.6914,91.9355,94.4121,103.18,11.264,8.01966,7.44382,9.94382,13.6938,28.6236,50.2247,8,5,1,4,6,7,1,1,1.123,1.163,1.3533236,0.995823,20,25,30,30,35,40
124,5.33597,5.87361,10.0695,8.55247,11.5797,12.7335,0,0,1.24643,0,0,0,0.114452,0.728389,6.12081,2.21712,4.32651,6.09029,1.21635,1.24345,1.41664,1.39876,1.62864,1.73747,52,52,52,52,52,52,86.8194,92.3588,93.5788,97.2013,99.1787,110.756,25.5752,24.587,26.9469,29.3215,33.5546,49.056,69.764,8.114452,5.728389,7.12081,6.21712,10.32651,13.09029,1.21635,1.24345,1.59088672,1.62675788,2.0195136,1.563723,20,25,30,30,35,40
125,0,0,1.88695,0.116968,5.60447,5.88003,0,0,0,0,0,0,0,0,1.6125,0,0,0,1,1,1.06712,1.00391,1.22973,1.24378,52,52,52,52,52,52,83.3887,88.5851,89.2176,93.0505,96.4017,110.081,11.8525,9.80328,11.5738,15.9508,21.9836,45.3607,68.4262,8,5,2.6125,4,6,7,1,1,1.19837576,1.16754733,1.5248652,1.119402,20,25,30,30,35,40
126,14.004,17.7867,23.4969,22.1897,22.3193,23.4689,0,0,1.40928,0.389528,1.95264,4.93738,6.65939,8.52965,12.3645,11.4014,12.4686,14.5,1.87546,2.45633,3.79155,3.65863,3.11419,2.61586,52,52,52,52,52,52,95.3804,101.805,104.827,108.373,110.358,112.883,59.8193,61.1446,63.9759,65.8434,68.9759,71.6867,73.9759,14.65939,13.52965,13.3645,15.4014,18.4686,21.5,1.87546,2.45633,4.25791065,4.25498669,3.8615956,2.354274,20,25,30,30,35,40
127,12.5151,15.2842,20.1399,17.9092,17.7748,19.4632,0,0,0,0,0,1.12065,4.7039,5.74967,9.62675,7.27779,7.97641,10.4432,1.71577,2.03863,3.04257,2.48122,2.45394,2.57347,52,52,52,52,52,52,93.7858,100.022,102.598,104.282,105.087,108.405,53.4409,55.1613,53.172,55.3226,58.172,61.1828,65.1075,12.7039,10.74967,10.62675,11.27779,13.97641,17.4432,1.71577,2.03863,3.41680611,2.88565886,3.0428856,2.316123,20,25,30,30,35,40
128,10.0163,10.9738,16.038,14.9239,16.317,17.8457,0,0,0,0,0,2.05835,2.48374,2.7861,7.93189,5.54153,7.27066,9.66085,1.50122,1.57678,2.14868,1.98991,2.1925,2.1108,52,52,52,52,52,52,90.5454,96.4574,97.9843,101.421,103.514,111.496,40.479,39.521,42.5749,46.2575,51.6168,61.7964,71.2275,10.48374,7.7861,8.93189,9.54153,13.27066,16.66085,1.50122,1.57678,2.41296764,2.31426533,2.7187,1.89972,20,25,30,30,35,40
129,15.4597,19.7984,19.8467,13.2965,7.63964,10.8468,1.19128,2.40046,3.44898,0,0,0,10.2649,12.5853,12.4241,4.68625,0.566569,2.79921,1.90699,2.38057,2.20551,1.79603,1.34166,1.56632,52,52,52,52,52,52,94.3492,100.642,100.625,100.126,97.759,104.326,55.6944,48.4722,37.7778,29.4444,27.6389,38.8889,55,18.2649,17.5853,13.4241,8.68625,6.566569,9.79921,1.90699,2.38057,2.47678773,2.08878289,1.6636584,1.409688,20,25,30,30,35,40
130,4.36305,5.20743,15.8839,20.6813,23.7659,23.3041,0,0,0,0.605473,2.598,5.39875,0,0,7.34554,10.9395,13.6708,14.6474,1.17019,1.21004,2.12524,3.02292,3.39671,2.48045,52,52,52,52,52,52,88.0944,93.7613,98.3395,105.343,109.298,111.999,30.675,40.725,57.1,63.375,66.875,69.75,72.225,8,5,8.34554,14.9395,19.6708,21.6474,1.17019,1.21004,2.38664452,3.51565596,4.2119204,2.232405,20,25,30,30,35,40
131,0,0,7.93861,19.8383,23.9017,22.822,0,0,0,0.67741,2.4376,5.41517,0,0,1.94763,10.3986,13.2389,14.0836,1,1,1.35984,2.76776,3.51457,2.38224,52,52,52,52,52,52,84.3745,89.6694,92.0999,104.246,109.226,109.757,15.7955,19.5739,53.0398,63.3239,66.733,67.3295,67.7841,8,5,2.94763,14.3986,19.2389,21.0836,1,1,1.52710032,3.21890488,4.3580668,2.144016,20,25,30,30,35,40
132,4.20649,4.45912,12.6851,15.1723,20.5351,20.7047,0,0,0,0,0.951242,3.98112,0,0,6.67916,6.3088,10.7504,12.1972,1.16308,1.17459,1.73262,2.02323,2.88016,2.25965,52,52,52,52,52,52,86.5163,92.0254,94.4719,100.02,105.281,111.008,24.3627,27.6144,37.3856,50.7026,58.9216,67.1242,70.2614,8,5,7.67916,10.3088,16.7504,19.1972,1.16308,1.17459,1.94573226,2.35301649,3.5713984,2.033685,20,25,30,30,35,40
133,0,0,7.00747,10.225,15.0586,15.4533,0,0,0,0,0,0.883898,0,0,3.86611,2.76573,6.05973,7.8433,1,1,1.30477,1.51707,2.00784,1.94418,52,52,52,52,52,52,84.1652,89.4391,91.2012,97.698,102.192,110.622,14.9582,16.5272,28.7866,39.728,46.1088,54.4979,69.4979,8,5,4.86611,6.76573,12.05973,14.8433,1,1,1.46525671,1.76435241,2.4897216,1.749762,20,25,30,30,35,40
134,0,0,6.19853,10.1907,21.6951,20.3591,0,0,0,0,2.21406,4.10361,0,0,3.64759,3.58458,12.625,12.5922,1,1,1.26043,1.51444,2.85199,2.18268,52,52,52,52,52,52,83.6664,88.8904,90.0526,96.4534,107.852,109.514,12.963,12.6337,24.177,58.0658,64.0123,67.428,67.3045,8,5,4.64759,7.58458,18.625,19.5922,1,1,1.41546289,1.76129372,3.5364676,1.964412,20,25,30,30,35,40
135,0,0,3.28977,6.14035,17.8341,14.5925,0,0,0,0,0.312189,1.24512,0,0,0.664015,0.185981,9.77185,8.61544,1,1,1.12317,1.25735,2.40421,1.80152,52,52,52,52,52,52,83.6335,88.8542,89.8443,94.6913,106.799,99.9304,12.8313,11.9277,17.6506,46.0241,61.9277,55.7229,36.6867,8,5,1.664015,4.185981,15.77185,15.61544,1,1,1.26131991,1.46229805,2.9812204,1.621368,20,25,30,30,35,40
136,0,0.858321,4.94589,4.42958,15.019,14.433,0,0,0,0,0,1.57585,0,0,2.40666,0,6.43781,7.4564,1,1.02945,1.19741,1.17323,2.00254,1.75,52,52,52,52,52,52,83.8867,89.1328,89.8253,94.4787,104.575,111.292,13.8443,11.8632,16.8632,36.3679,56.0377,68.4906,70.8255,8,5,3.40666,4,12.43781,14.4564,1,1.02945,1.34469143,1.36446649,2.4831496,1.575,20,25,30,30,35,40
137,0,0.384178,3.10316,1.22817,10.4075,10.3767,0,0,0,0,0,0,0,0,1.31263,0,3.15203,4.64981,1,1.01297,1.11537,1.04269,1.53119,1.5288,52,52,52,52,52,52,83.3795,88.5748,89.4072,92.9696,101.956,109.637,11.8153,10.4459,11.2739,23.7898,45.1274,58.5032,67.5478,8,5,2.31263,4,9.15203,11.64981,1,1.01297,1.25256051,1.21264847,1.8986756,1.37592,20,25,30,30,35,40
138,6.92856,7.86754,11.8356,9.37346,13.654,14.7477,0,0,0.551864,0,0,1.25199,0.80323,1.7831,6.55073,2.41426,5.93493,7.85771,1.30031,1.35548,1.60288,1.45444,1.83531,1.8177,52,52,52,52,52,52,87.8726,93.5173,94.5007,97.5608,100.98,111.078,29.7877,27.7123,28.2783,31.7925,41.0613,60.3774,70.4009,8.80323,6.7831,7.55073,6.41426,11.93493,14.85771,1.30031,1.35548,1.80003424,1.69151372,2.2757844,1.63593,20,25,30,30,35,40
139,3.34419,3.77889,7.43359,6.26934,9.21567,10.2076,0,0,1.30203,0,0,0,0,0,4.9152,0.780006,2.2674,3.76292,1.12546,1.14412,1.25689,1.26419,1.4434,1.51573,52,52,52,52,52,52,85.7707,91.2052,92.2179,96.2256,97.8131,110.797,21.3802,19.974,23.3333,25.651,27.8646,42.2917,69.8438,8,5,5.9152,4.780006,8.2674,10.76292,1.12546,1.14412,1.41148747,1.47025297,1.789816,1.364157,20,25,30,30,35,40
140,7.37159,7.65647,13.7329,13.1722,17.9119,18.6031,0,0,0.916975,0,1.40962,4.41164,1.61102,1.78156,7.63644,5.03139,9.04474,10.8495,1.32577,1.34267,1.7458,1.78277,2.2226,1.89771,52,52,52,52,52,52,87.7437,93.3755,95.0169,99.4525,103.004,120.368,29.2722,29.462,35.2848,42.2152,49.4937,68.9557,88.7975,9.61102,6.78156,8.63644,9.03139,15.04474,17.8495,1.32577,1.34267,1.9605334,2.07336151,2.756024,1.707939,20,25,30,30,35,40
141,0.895757,2.52037,5.61104,2.77352,10.1793,10.2754,0,0,0.848823,0,0,0,0,0,3.58397,0,3.43885,4.7,1.03078,1.09172,1.18869,1.10187,1.51357,1.52094,52,52,52,52,52,52,84.6121,89.9308,90.774,94.4256,98.8971,119.934,16.746,15.0794,16.6667,22.5794,32.381,62.0238,87.9365,8,5,4.58397,4,9.43885,11.7,1.03078,1.09172,1.33489887,1.28147481,1.8768268,1.368846,20,25,30,30,35,40
142,18.8972,24.0914,31.3202,32.0086,33.0859,32.8857,3.3478,5.81009,10.7299,13.3417,16.9624,18.1515,11.9989,15.7966,21.009,22.8641,25.7555,26.2243,2.07604,2.56002,3.18819,2.64713,2.16193,1.96518,52,52,52,52,52,52,102.526,108.626,110.226,116.048,120.46,121.233,70,71.4286,78.8776,84.3878,88.9796,90.3061,90.5102,19.9989,20.7966,22.009,26.8641,31.7555,33.2243,2.07604,2.56002,3.58033737,3.07861219,2.6807932,1.768662,20,25,30,30,35,40
143,16.9227,22.7868,28.6768,25.7531,23.8337,25.4541,3.7685,5.93041,7.21874,3.79825,4.04075,7.33892,11.6926,15.4155,18.0996,15.0774,14.1205,16.6914,1.78086,2.28247,3.51207,3.72895,2.93915,2.52423,52,52,52,52,52,52,103.898,109.921,109.511,110.858,110.741,119.461,71.9333,70.0667,68.8,66.2,69.7333,78.6667,87,19.6926,20.4155,19.0996,19.0774,20.1205,23.6914,1.78086,2.28247,3.94405461,4.33676885,3.644546,2.271807,20,25,30,30,35,40
144,8.41266,10.562,19.6799,23.5063,26.9159,26.2255,0,0,0,2.98173,8.25896,10.2021,0,1.11153,9.46866,13.4868,18.3611,18.7969,1.3897,1.54337,2.90696,3.16607,2.64478,2.14644,52,52,52,52,52,52,91.3226,97.3123,102.112,109.942,115.637,119.626,43.5878,53.5115,67.0229,72.1756,79.4275,86.2214,87.3282,8,6.11153,10.46866,17.4868,24.3611,25.7969,1.3897,1.54337,3.26451608,3.68213941,3.2795272,1.931796,20,25,30,30,35,40
145,11.259,13.3892,19.1162,18.0514,19.4346,20.7333,0,0,0,0,0.522205,3.75944,4.02989,4.74679,9.13921,7.26234,9.63664,11.9314,1.60077,1.80606,2.75638,2.51075,2.70573,2.30305,52,52,52,52,52,52,92.4673,98.5715,100.699,103.816,105.321,120.078,48.1667,48.7222,51.4444,54.5556,59,71,88.2222,12.02989,9.74679,10.13921,11.26234,15.63664,18.9314,1.60077,1.80606,3.09541474,2.92000225,3.3551052,2.072745,20,25,30,30,35,40
146,0,0,12.8899,23.1891,26.6594,24.8433,0,0,0,6.23862,10.259,11.2791,0,0,5.86393,15.3385,19.4179,18.677,1,1,1.75335,2.29893,2.20594,1.82528,52,52,52,52,52,52,85.5455,90.9575,94.428,109.571,120.353,120.422,20.4795,27.4658,66.3014,81.7123,88.7671,91.4384,88.9041,8,5,6.86393,19.3385,25.4179,25.677,1,1,1.96901205,2.67365559,2.7353656,1.642752,20,25,30,30,35,40
147,0,0,11.6986,21.0696,24.6891,23.7296,0,0,0,1.96901,5.06071,7.76789,0,0,4.91551,11.8268,15.215,15.8834,1,1,1.63922,2.75244,2.89252,2.13702,52,52,52,52,52,52,85.4256,90.8256,93.5211,105.363,113.181,119.021,20,24.3913,57.1739,67.913,74.5652,85.3913,86.1304,8,5,5.91551,15.8268,21.215,22.8834,1,1,1.84084406,3.20108772,3.5867248,1.923318,20,25,30,30,35,40
148,8.28239,8.79959,16.0208,17.3443,23.127,23.6344,0,0,0,0,4.60161,7.39656,1.72905,1.07309,7.34963,7.40319,14.3092,15.7779,1.38137,1.41507,2.14605,2.37048,2.61447,2.17989,52,52,52,52,52,52,89.6042,95.4221,97.4373,102.757,111.717,121.889,36.7143,37.6667,47.5238,62.1429,71.6667,86.7143,91.8095,9.72905,6.07309,8.34963,11.40319,20.3092,22.7779,1.38137,1.41507,2.41001415,2.75686824,3.2419428,1.961901,20,25,30,30,35,40
149,1.52608,2.94224,14.49,20.0398,23.0922,22.7681,0,0,0,0.265107,3.00475,6.21679,0,0,7.23442,10.3191,13.1318,14.4513,1.0536,1.10874,1.93424,2.93389,3.02647,2.2307,52,52,52,52,52,52,85.9032,91.3509,96.1037,103.729,107.414,119.983,21.9101,33.1461,51.1236,58.764,63.1461,71.4045,88.0337,8,5,8.23442,14.3191,19.1318,21.4513,1.0536,1.10874,2.17215152,3.41211407,3.7528228,2.00763,20,25,30,30,35,40
150,0,1.6775,6.08132,6.26497,19.7565,18.5996,0,0,1.1765,0,7.20859,7.98487,0,0,4.69539,3.14409,14.7223,14.1707,1,1.05923,1.19545,1.26395,1.71899,1.54757,52,52,52,52,52,52,83.6138,88.8327,89.6402,95.6593,118.706,118.706,12.7528,11.236,21.236,67.191,85.5056,90.9551,85.5056,8,5,5.69539,7.14409,20.7223,21.1707,1,1.05923,1.34249035,1.46997385,2.1315476,1.392813,20,25,30,30,35,40
151,1.10391,1.63963,9.56122,12.9581,22.1315,21.7073,0,0,0,0,4.24463,6.71622,0,0,5.64518,5.6923,13.6277,14.3587,1.0382,1.05781,1.4678,1.76037,2.47664,1.99881,52,52,52,52,52,52,84.2506,89.5331,91.0161,98.5386,108.721,120.504,15.3,15.9,31.9,59.1667,65.7333,80.1333,89.0667,8,5,6.64518,9.6923,19.6277,21.3587,1.0382,1.05781,1.6483394,2.04731031,3.0710336,1.798929,20,25,30,30,35,40
152,0,2.69696,5.15321,2.16398,13.7283,13.2516,0,0,0,0,0.837858,3.301,0,0,2.93817,0,7.17438,7.96227,1,1.09878,1.2074,1.07774,1.7534,1.49631,52,52,52,52,52,52,84.1098,89.3783,90.1037,93.2177,110.477,119.337,14.7368,12.807,12.193,32.7193,69.2105,85.7018,86.7544,8,5,3.93817,4,13.17438,14.96227,1,1.09878,1.3559102,1.25341162,2.174216,1.346679,20,25,30,30,35,40
153,1.05851,2.23472,7.0288,6.12947,14.6853,14.6934,0,0,0,0,0,2.86927,0,0,3.80659,0.414852,6.49012,8.00878,1.03657,1.08049,1.30598,1.25678,1.9589,1.65054,52,52,52,52,52,52,84.3947,89.6916,90.5682,96.0076,103.497,119.908,15.8763,14.3814,22.5258,34.5876,51.5464,74.8969,87.8866,8,5,4.80659,4.414852,12.49012,15.00878,1.03657,1.08049,1.46661554,1.46163514,2.429036,1.485486,20,25,30,30,35,40
154,7.73847,7.87918,13.6463,13,19.0604,19.6782,0,0,0,0,1.53797,4.63735,1.35674,1.40354,6.85072,4.44735,9.79875,11.5371,1.34762,1.35619,1.83445,1.76471,2.40432,2.00546,52,52,52,52,52,52,88.2607,93.9442,95.0388,99.7653,104.61,120.143,31.3402,29.5361,36.4433,45.0515,56.1856,81.2887,88.3505,9.35674,6.40354,7.85072,8.44735,15.79875,18.5371,1.34762,1.35619,2.06008735,2.05235773,2.9813568,1.804914,20,25,30,30,35,40
155,6.35422,6.66426,13.0688,13.1652,16.8233,17.5823,0,0,1.69037,0,1.0739,3.95936,1.22912,1.3937,7.71355,5.35914,8.33849,10.176,1.26873,1.28558,1.61104,1.78202,2.10518,1.83183,52,52,52,52,52,52,87.1691,92.7434,94.5352,99.3934,102.005,120.178,26.9737,27.8289,35.0658,40.7237,45.3289,62.3026,88.4211,9.22912,6.3937,8.71355,9.35914,14.33849,17.176,1.26873,1.28558,1.80919792,2.07248926,2.6104232,1.648647,20,25,30,30,35,40
